STATION,DATE,PRCP,TMAX,TMIN
GHCND:USW00014739,20150409,23,28,6
GHCND:USW00014739,20150410,23,128,22
GHCND:USW00014739,20150411,0,139,56
GHCND:USW00014739,20150412,0,200,39
GHCND:USW00014739,20150413,0,206,50
GHCND:USW00014739,20150414,3,183,111
GHCND:USW00014739,20150415,0,194,100
GHCND:USW00014739,20150416,0,156,50
